"bathrooms","bedrooms","levels","livingArea","price","pricePerSquareFoot","garageSpaces","hasGarage","parking","pool","spa","homeType","isNewConstruction","yearBuilt","mild_uout","extr_uout","mout","f.price","f.yearBuilt"
5,5,"two",2976,375000,126,"2","1","1","0","0","SINGLE_FAMILY","0",1982,"0","0",0,"Medium-High","Old"
2,3,"one",2255,269999,120,"0","1","0","0","0","SINGLE_FAMILY","0",2008,"0","0",0,"Medium-Low","Recent"
5,4,"two",3874,874500,226,"3 or more","1","1","0","0","SINGLE_FAMILY","1",2021,"0","0",0,"High","New"
2,2,"two",1500,339900,227,"1","1","1","0","0","TOWNHOUSE","0",2005,"0","0",0,"Medium-High","Recent"
2,3,"one",1563,218900,140,"0","0","1","1","0","SINGLE_FAMILY","0",1962,"0","0",0,"Low","Old"
6,5,"two",7200,950000,132,"0","1","1","1","0","SINGLE_FAMILY","0",1991,"0","0",1,"High","Old"
1,2,"one",800,37000,46,"0","0","0","0","0","SINGLE_FAMILY","0",1950,"0","0",0,"Low","Old"
4,4,"three or more",3864,450000,116,"2","1","1","0","0","TOWNHOUSE","0",2002,"0","0",0,"Medium-High","Recent"
2,3,"one",1668,349900,210,"0","0","0","0","0","SINGLE_FAMILY","0",1960,"0","0",0,"Medium-High","Old"
3,3,"one",2456,877900,357,"2","1","1","0","0","CONDO","1",2020,"0","0",0,"High","New"
4,4,"one",2796,350000,125,"3 or more","1","1","0","0","SINGLE_FAMILY","0",1977,"0","0",0,"Medium-High","Old"
2,2,"one",972,96228,99,"0","0","1","0","0","SINGLE_FAMILY","0",1955,"0","0",0,"Low","Old"
2,3,"one",1757,87000,50,"0","0","0","0","0","SINGLE_FAMILY","0",1954,"0","0",0,"Low","Old"
3,4,"two",2439,419000,172,"2","1","1","0","0","SINGLE_FAMILY","0",2016,"0","0",0,"Medium-High","New"
3,2,"three or more",1372,305000,222,"0","0","1","0","0","SINGLE_FAMILY","0",2002,"0","0",0,"Medium-Low","Recent"
2,3,"one",1496,219900,147,"0","0","1","0","0","SINGLE_FAMILY","0",1956,"0","0",0,"Low","Old"
1,2,"one",980,155000,158,"0","0","0","0","1","SINGLE_FAMILY","0",1965,"0","0",0,"Low","Old"
2,3,"one",1736,375000,216,"2","1","1","0","0","SINGLE_FAMILY","0",1998,"0","0",0,"Medium-High","Recent"
3,4,"two",2892,959000,332,"2","1","1","0","0","SINGLE_FAMILY","0",2014,"0","0",0,"High","Recent"
2,3,"three or more",1296,294900,228,"2","1","1","0","0","SINGLE_FAMILY","0",1974,"0","0",0,"Medium-Low","Old"
2,3,"two",1956,299900,153,"2","1","1","0","0","SINGLE_FAMILY","0",1974,"0","0",0,"Medium-Low","Old"
3,4,"three or more",2628,4e+05,152,"2","1","1","0","0","SINGLE_FAMILY","0",1999,"0","0",0,"Medium-High","Recent"
4,4,"three or more",3102,775000,250,"2","1","1","0","0","TOWNHOUSE","0",2011,"0","0",0,"High","Recent"
2,3,"one",1286,249000,194,"0","0","1","0","0","SINGLE_FAMILY","0",1972,"0","0",0,"Medium-Low","Old"
2,3,"one",1188,115900,98,"0","0","0","0","0","SINGLE_FAMILY","0",1965,"0","0",0,"Low","Old"
1,3,"one",1056,169000,160,"0","0","0","0","0","SINGLE_FAMILY","0",1972,"0","0",0,"Low","Old"
4,6,"three or more",5374,799000,149,"0","1","1","0","0","SINGLE_FAMILY","0",2003,"0","0",0,"High","Recent"
3,4,"two",4360,510000,117,"3 or more","1","1","1","0","SINGLE_FAMILY","0",1972,"0","0",0,"High","Old"
3,5,"two",2367,330000,139,"2","1","1","0","0","SINGLE_FAMILY","0",1987,"0","0",0,"Medium-High","Old"
4,5,"two",3364,385000,114,"2","1","1","0","0","SINGLE_FAMILY","0",2006,"0","0",0,"Medium-High","Recent"
1,2,"one",1178,85000,72,"0","0","0","0","0","SINGLE_FAMILY","0",1899,"0","0",0,"Low","Historic"
2,3,"one",1604,275000,171,"0","1","1","0","0","SINGLE_FAMILY","0",1983,"0","0",0,"Medium-Low","Old"
2,3,"one",1986,350999,177,"0","0","0","0","0","SINGLE_FAMILY","0",1986,"0","0",0,"Medium-High","Old"
5,4,"two",3099,4e+05,129,"2","1","1","0","1","SINGLE_FAMILY","0",2006,"0","0",0,"Medium-High","Recent"
4,4,"three or more",2692,850000,316,"1","1","1","0","0","TOWNHOUSE","0",2019,"0","0",0,"High","New"
3,3,"two",1616,215000,133,"0","1","1","0","0","TOWNHOUSE","0",2006,"0","0",0,"Low","Recent"
